
---------------> PROGRAM SIG_BCZ <---------------


  Reading the parameters from file: sig_bcz_input
  Input parameters are:

    XINIT = 2.0000E-08
    AMP0 = 0.050    TAU0 =   2700.00    PHI0 = 0.500
    IPRINT = 4    ERRORS = n

  
  name of input file (l,n,v) -->   
   Reading frequencies from File: /home/joao/Documents/FCUP/TESE/bcz_fit/mesa_bestA.freq                          
       Range in frequencies: 1494.6894 - 2787.6930
       Reference frequency : 2100.0000
       Points read:  36
  
   Smoothing parameter = 0.20D-07

   File RES   [Model,C1,C2,...] (all final values)
   File COF   [C1,C2,...] (each iteration)
   File SIG   [v, v-smooth, l, n, sigma, fit] 
   1 ->      0.20     0.74347221     0.00436918    
   2 ->      0.20     0.08171534     0.00286233    
   3 ->      0.20     0.07749224     0.00216171    
   4 ->      0.20     0.07105231     0.00174954    
   5 ->      0.20     0.06615668     0.00147961    
   6 ->      0.20     0.06276293     0.00128783    
   7 ->      0.20     0.06064748     0.00114341    
   8 ->      0.20     0.05949421     0.00103048    
   9 ->      0.20     0.05907567     0.00093997    
  10 ->      0.20     0.05925630     0.00086618    
  11 ->      0.20     0.05996865     0.00080522    
  12 ->      0.20     0.06119430     0.00075434    
  13 ->      0.20     0.06295463     0.00071148    
  14 ->      0.20     0.06530899     0.00067510    
  15 ->      0.20     0.06836088     0.00064401    
  16 ->      0.20     0.07227175     0.00061730    
  17 ->      0.20     0.07010218     0.00059423    
  18 ->      0.20     0.06498583     0.00057420    
  19 ->      0.20     0.81400854     0.00055675    
  20 ->      0.20     0.00900721     0.00054149    
  21 ->      0.20     0.00851191     0.00052809    
  22 ->      0.20     0.00804682     0.00051630    
  23 ->      0.20     0.00760938     0.00050589    
  24 ->      0.20     0.00719732     0.00049667    
  25 ->      0.20     0.00680869     0.00048849    
  26 ->      0.20     0.00644183     0.00048122    
  27 ->      0.20     0.00609533     0.00047473    
  28 ->      0.20     0.00576777     0.00046893    
  29 ->      0.20     0.00545802     0.00046374    
  30 ->      0.20     0.00516496     0.00045909    
  31 ->      0.20     0.00488771     0.00045491    
  32 ->      0.20     0.00462526     0.00045114    
  33 ->      0.20     0.00437679     0.00044775    
  34 ->      0.20     0.00414155     0.00044468    
